id,FrameName,English,French,German,Spanish,Portuguese,Arabic,Chinese,Swedish
978,Medical_specialties,"endocrinology.n, podiatry.n, speech therapy.n, allopathy.n, dentistry.n, histology.n, paediatrics.n, psychotherapy.n, oncology.n, chiropractic.n, gastroenterology.n, immunology.n, haematology.n, nephrology.n, rheumatology.n, dermatology.n, radiology.n, therapy.n, cardiology.n, epidemiology.n, neonatology.n, midwifery.n, psychoanalysis.n, neurology.n, medicine.n, orthopaedics.n, gynaecology.n, obstetrics.n, homeopathy.n",,"Endokrinologie.n, Onkologie.n, Epidemiologie.n",,"odontologia.n, psicologia.n, podologia.n, endocrinologista.n, farmacologia.n, pediatria.n, oncologia.n, fisioterapia.n, ortopedia.n, patologia.n, cardiologia.n, reumatologia.n, psiquiátrico.a, gastrologia.n, , neurologia.n, psiquiatria.n, ginecologia.n, pneumologia.n, dermatologia.n, enfermagem.n, fonoaudiologia.n, saudar.v, psicológico.a, urologia.n, oftalmologia.n, nefrologia.n, saúde.n",,,
979,Medicines,", no.a, dose.n, two_hundred.num",,,"emanar.v, ingerir.v","carbonato de lítio.n, sintocalmy.n, coristina.n, paco.n, prednisona.n, gabapentina.n, dramin.n, otezla.n, inteiro.a, predsin.n, vacinar.v, fluconazol.n, revestido.a, melatonina.n, carbamazepina.n, comprimidos.n, soro.n, piroxicam.n, metformina.n, filgrastim.n, captopril.n, morfina.n, buscopan.n, sonrisal.n, budesonida.n, donaren.n, antiinflamatório.a, desloratadina.n, hidroxizina.n, tomado.a, lisador.n, traum.n, dexametasona.n, flurbiprofeno.n, oxicodona.n, analgésico.n, antigripal.n, anlodipino.n, labirin.n, traturil.n, atenolol.n, duloxetina.n, contraceptivo.a, astro.n, olanzapina.n, analgésico.a, suspensão.n, escitalopram.n, antialérgico.n, cerumin.n, clavulanato.n, noripurum.n, plasil.n, valerato.n, hemoderivado.n, buspirona.n, roacutan.n, soro fisiológico.n, pantoprazol.n, benegripe.n, doril.n, comprar.v, voltaren.n, infusão.n, ringer lactato.n, divalproato.n, decongex.n, cápsula.n, queimalivre.n, levozine.n, tylex.n, xarelto.n, medicamentar.v, antibiótico.a, colidratro.n, paracetamol.n, aspirina.n, rivotril.n, laxante.n, flanax.n, carrapaticida.a, mirtazapina.n, salonpas.n, pregabalina.n, rocefin.n, clenil.n, em.adv, sinvastatina.n, alprazolam.n, sorar.v, mioflex.n, estomazil.n, comprimir.v, bacitracina.n, cetoconazol.n, cetoprofeno.n, antidepressivo.a, anticoncepcional.a, cloridrato.n, antifúngico.n, benzetacil.n, nimesulida.n, lactulose.n, risperidona.n, diurético.a, meloxican.n, allegra.n, óleo mineral.n, zofran.n, sertralina.n, celestamine.n, glifage.n, reduclim.n, ansiolítico.a, após.adv, ciprofloxacino.n, axetilcefuroxima.n, tylenol.n, ansiolítico.n, comprimido.a, flancox.n, imosec.n, reumotec.n, fenobarbital.n, gel.n, clindamicina.n, lamotrigina.n, fenergan.n, gardenal.n, flogoral.n, cloridrato de clomipramina.n, semana.n, deocil.n, haldol.n, furosemida.n, finasterida.n, soro glicosado.n, trileptal.n, xilocaína.n, cimegripe.n, apo.a, simeticona.n, fluoxetina.n, antiácido.n, berotec.n, antiinflamatório.n, diprospan.n, contraceptivo.n, zanamivir.n, alivium.n, inteirar.v, antibiótico.n, insulina.n, colírio.n, depakene.n, pyridium.n, clomipramina.n, apracur.n, resfenol.n, norfloxacino.n, ondansetrona.n, decadron.n, novalgina.n, passiflora.n, revestir.v, nebacetin.n, prelone.n, dosar.v, solução.n, beserol.n, galantamina.n, polaramine.n, anticoncepcional.n, prebictal.n, buprovil.n, isordil.n, vacina.n, injetar.v, paroxetina.n, alenia.n, losartana.n, biperideno.n, tandrilax.n, naldecon.n, vick.n, diclofenaco.n, clavulin.n, levomepromazina.n, apetivin.n, amitriptilina.n, valeriana.n, sibutramina.n, hidroclorotiazida.n, apor.v, quetiapina.n, dipirona.n, cartela.n, ritalina.n, penicilina.n, vibral.n, cataflam.n, histamin.n, vitamina.n, hixizine.n, pfizer.n, clexane.n, marevan.n, pomada.n, omeprazol.n, zolpidem.n, anticoagulante.n, claritromicina.n, bupropiona.n, psicotrópico.a, ciclobenzaprina.n, stugeron.n, tilenol.n, ceftriaxona.n, saubutamol.n, nitrofurantoina.n, tomar.v, floratil.n, acetilcisteína.n, sinot.n, corticóide.n, carbocisteína.n, luftal.n, topiramato.n, mylanta.n, xarope.n, naproxeno.n, amoxicilina.n, anti-hipertensivo.a, ciclosporina.n, condroflex.n, um.a, vertix.n, dorflex.n, comprimido.n, anticonvulsivante.n, naramig.n, amplictil.n, torsilax.n, vonau.n, cystex.n, nistatina.n, repoflor.n, varfarina.n, injetável.a, azidotimidina.n, diosmin.n, anador.n, infralax.n, arnica.n, antidepressivo.n, floral.n, clonazepam.n, profenid.n, remédio.n, cimelide.n, tetraciclina.n, levofloxacino.n, ponstan.n, cisteína.n, antirrábica.n, tilatil.n, atrovent.n, anticonvulsivante.a, prednisolona.n, clopidrogel.n, frontal.n, macrodantina.n, expec.n, bromazepam.n, hidrocortisona.n, salbutamol.n, metropolol.n, manitol.n, azitromicina.n, cefuroxima.n, benzodiazepina.n, venlafaxina.n, codeína.n, capsular.a, cloridrato de bupropiona.n, moxifloxacino.n, trilax.n, metoprolol.n, depakote.n, tramadol.n, metronidazol.n, neosaldina.n, benzilpenicilina.n, codex.n, injeção.n, anticoagulante.a, tobrex.n, emplastro.n, domperidona.n, cefalexina.n, loratadina.n, ingerido.a, medicação.n, antialérgico.a, ibuprofeno.n, enalapril.n, rinosoro.n, zoladex.n, aciclovir.n, alginac.n, formoterol.n, vermífugo.n, tropinal.n, aerolin.n, tramal.n, caseiro.a, sinus.n, spidufen.n, aradois.n, coquetel.n, neocopan.n, diazepam.n, medicamento.n, antitetânica.n, controlado.a",,,
980,Medium,in.prep,,,,canal.n,,,
981,Meet_specifications,"fulfill.v, meet.v","répondre.v, satisfaire.v",,,"preencher.v, alcançar.v, satisfazer.v",,,
982,Meet_with,meet with.v,voir.v,"treffen.v, sehen.v, zusammenkommen.v",,,,,"träff.n, träffaträffas.v, träffa.v"
983,Meet_with_response,meet.v,,,,"encarar.v, defrontar.v, deparar.v",,,
984,Member_of_military,"soldier.n, service member.n, marine.n, airman.n, sailor.n, commando.n, troop.n",,,,"sargento.n, navegador.n, capitão.n, artilheiro.n",,,"soldat.n, militär.n, amiral.n, officerofficerare.n, general.n"
985,Membership,"member.n, membership [status].n, associated.a, belong.v, membership.n, part.n",,,,"relativo.a, referente.a",,,"medlem.n, deltagare.n"
986,Memorization,"commit to memory.v, memorization.n, learn.v, memorise.v",,"lernen.v, merken.v, einprägen.v","memorizar.v\n, aprenderse_de_memoria.v, memorizar.v, aprenderse.v, aprender_de_memoria.v, , memorización.n","memorizar.v, aprender.v, memorização.n, decorar.v",,,
987,Memory,"bethink oneself.v, retain.v, recollection.n, memory.n, recall.v, recollect.v, remember.v",,,"recuerdo.n, olvido.n, acordarse.v, acordarse.v, olvidarse.v, recordar.v, recuerdo.n\n, olvidar.v","lapso.n, recordação.n, lembrar.v",,,"glömma.v, minnaminnas.v"
988,Mental_activity,,,,,,,,abstrahera.v
989,Mental_property,"discerning.a, sagacious.a, sensible.a, broad-minded.a, foolishness.n, sage.a, cynical.a, ingenious.a, crazy.a, idiotic.a, brilliant.a, energetic.a, stupidly.adv, curious.a, forgetful.a, inattentive.a, insightfully.adv, common sense.n, brainless.a, moronic.a, suspicious.a, daft.a, foolish.a, acquisitive.a, ridiculous.a, enlightenment.n, wit.n, diligent.a, unreasonable.a, wise.a, cunning.a, careless.a, inane.a, ill-advised.a, insightful.a, brilliance.n, astuteness.n, absurdity.n, nonsensical.a, ludicrous.a, absent-minded.a, dim-witted.a, cerebral.a, irrational.a, narrow-mindedly.adv, absurd.a, idiot.n, discernment.n, creative.a, stupid.a, reasonable.a, sense.n, crafty.a, astute.a, naive.a, carelessly.adv, bull-headed.a, canny.a, enlightened.a, wisely.adv, dim.a, narrow-minded.a, smart.a, intelligent.a, carelessness.n, perceptively.adv, crackers.a, foxy.a, carefully.adv, shrewd.a, perceptive.a","brillant.a, créatif.a, créativité.n, curieux.a, distrait.a, idiot.a, intelligence.n, sage.a, stupide.a",,,"responsavelmente.adv, diária.a, inteligência.n, criatividade.n, diariamente.adv, cuidadoso.a, vergonha.n, artista.a, excepcional.a, solícito.a, sensibilidade.n, , curioso.a, bom.a, louco.a, cognitivo.a, cismado.a, talentoso.a, genialidade.n, responsável.a, brilhante.a, cuidado.n, abstrato.a, tímido.a, genial.a, humorado.a, sensível.a, filosófico.a, doido.a, bagunceiro.a, autenticidade.n, criativo.a",,,"förståelse.n, tveksam.a, klok.a, noggrann.a, snarfyndig.a, klipsk.a, omdöme.n, paranoid.a, löjlig.a, glömsk.a, smart.a, försiktig.adv, dum.a, nyfiken.a, galen.a, vettig.a, oberäknelig.a, flitig.adv, fånig.a, idiotisk.a, nyfiken.adv, försiktig.a, vetgirig.a, likgiltig.adv, karaktär.n, vansinnig.a, misstänksam.a, omsorgsfull.adv, förnuft.n"
990,Mental_stimulus_exp_focus,"curiously.adv, lost (in).a, enthralled.a, smitten.a, fascinated.a, suspicious.a, captivated.a, infatuated.a, interested.a, interest.n, wrapped up (in).a, curious.a, engrossed.a, absorbed.a","aimer.v, fasciné.a, intéressé.a, intéresser.v, intérêt.n, intrigué.a",,,"cativado.a, desconfiado.a, fascinado.a, encantado.a, interessado.a, curioso.a, apaixonado.a",,,förtjust.a
991,Mental_stimulus_stimulus_focus,"engrossing.a, captivating.a, enthralling.a, absorbing.a, interesting.a, fascinating.a","intéressant.a, intéresser.v",,,"envolvente.a, interessante.a, encantador.a, cativante.a, fascinante.a",,,intressant.a
992,Mention,"mention.v, touch (on).v",,"erwähnen.v, eingehen.v",,mencionar.v,,,nämna.v
993,Military,"navy.n, force.n, coast guard.n, military.a, army.n, marines.n, national guard.n, air force.n, militia.n, military forces.n, military.n, armed forces.n, naval.a",,"Streitkraft.n, Dienst.n, Armee.n",,"força militar.n, marinha.n",,,"artilleri.n, flygvapen.n, förband.n"
994,Military_operation,"campaign.n, operate.v, operation.n",,"operieren.v, Arbeit.n, operierend.a, Operation.n",,"campanha.n, operação.n",,,
995,Mining,"strip-mine.v, extract.v, mine.p, mine.v, miner.n","extraction.n, extraire.a","gewinnen.v, brechen.v, fördern.v",,"explorar.v, extrair.v, minerar.v, exploração.n, -, extração.n, mineiro.n",,,
996,Misdeed,"transgression.n, misdeed.n, sin.n, sin.v, transgress.v, peccadillo.n",,,,"pecar.v, golpear.v",,,
997,Money,"dinero.n, dollar.n, sterling.n, fund.n, funds.n, dough.n, capital.n, allowance.n, coin.n, money.n, cash.n",argent.n,,,"mesada.n, cartão.n, peso.n, dinheiro.n, dólar.n, grana.n, troco.n, cartão de crédito.n, centavo.n, nota.n, moeda.n",,,"pengpengar.n, guldmynt.n, mynt.n, hundralapp.n, valuta.n, krona.n, pengpengarreda pengar:38.n, mark.n, euro.n, slantför hela slanten:13.n"
998,Morality_evaluation,"villainous.a, high-minded.a, right.a, felonious.a, base.a, dishonorable.a, low.a, dark.a, wrong.a, decent.a, iniquitous.a, improper.a, miscreant.a, evil.a, virtuous.a, vile.a, stand-up.a, wicked.a, upstanding.a, foul.a, degenerate.a, unethical.a, moral.a, immoral.a, low-minded.a, corrupt.a, depraved.a, honorable.a, depravity.n, heinous.a, unscrupulous.a, reprobate.a, righteous.a, nefarious.a, ethical.a, good.a, sinful.a, insidious.a, bad.a",bon.a,,,"liberal.a, certo.a, desonroso.a, generoso.a, inescrupuloso.a, escuro.a, canalha.a, imoral.a, ético.a, descente.a, iníquo.a, íntegro.a, nefasto.a, perverso.a, degenerado.a, melhor.a, repulsivo.a, , depravado.a, horroroso.a, insidioso.a, errado.a, bom.a, pecar.v, virtuoso.a, justo.a, doloso.a, impróprio.a, erro.n, obsceno.a, mau.a, absurdo.a, baixo.a, pior.a, réprobo.a, candongueiro.a, maldoso.a, menos.adv, errar.v, moral.a, absurdamente.adv, antiético.a, depravação.n, vil.a, pecaminoso.a",,,"ädel.a, god.a, fel.n, godkort och gott:3.adv, bragod.a, bragod.adv, etisk.a, moralisk.a, brabästgodsom bäst:3.a, ond.adv, brabästgod.a, ondont.a, godgott.a, pålitlig.a, ond.a, godså gott som:3.adv, just.adv, tarvlig.a, brabästgodefter bästa förmåga:19.a, god.adv"
999,Motion,"coast.v, swirl.v, go.v, slide.v, snake.v, drift.v, swerve.v, hustle.n, shift.v, fly.v, float.v, zigzag.v, move.v, drive.v, wind.v, weave.v, undulate.v, travel.n, blow.v, meander.v, soar.v, glide.v, circle.v, swing.v, travel.v, return.n, come back.v, movement.n, motion.n, come.v, roll.v, spiral.v, go back.v","aller.v, aller.v, avancer.v, avancer.v, déménager.v, déménager.v, mouvement.n, mouvement.n, se rendre.v, se rendre.v, parcourir.v","treten.v, spielen.v, rollen.v, tanzen.v, legen.v, fliegen.v, schwimmen.v, wehen.v, kommen.v, bewegen.v, senken.v","ir.v\n, , ir.v, serpentear.v, arremolinarse.v, girar.v","volta.n, puxa.n, puxar.v, enrolar.v, sair.v, desviar.v, balança.n, ondular.v, viajar.v, serpentear.v, abaixar.v, balançar.v, trançar.v, prostrar.v, serpear.v, bater.v, rodopiar.v, avançar.v, ir.v, vir.v, mobilidade.n, seguir.v, espiralar.v, , percorrer.v, alterar.v, flutuar.v, deslizar.v, ziguezaguear.v, mover.v, rolar.v, a.prep, empurrar.v, pedalar.v, dirigir.v, derrubar.v, disparar.v, movimentar.v, voar.v, ambulatório.a, mudar.v, remover.v, locomover.v, -, trilhar.v, repuxar.v, movimento.n, voltar.v",,,"blåsablåsa upp.v, gå.v, spela.v, flytta.v, gågå ut.v, gående.n, cirkulera.v, driva.v, flyttaflytta bort.v, glida.v, gågå hem.v, sladd.n, gågå bort.v, kana.v, gågå in.v, gågå ner.v, gågå uppgå upp i rök.v, spelaspela roll.v, sladda.v, gågå igenom.v, gågå ned.v, gågå upp.v, blåsa.v, flyttaflytta upp.v"
1 000,Motion_backwards,,,,"recular.v, retroceder.v\n",,,,
1 001,Motion_directional,"dip.v, drop.n, rise.v, topple.v, fall.v, plunge.v, drop.v, plummet.v, descend.v, angle.v, slant.v",tomber.v,"fallen.v, treiben.v, herunterfallen.v, springen.v, stürzen.v, umkippen.v, abstürzen.v, vorkommen.v, abfliegen.v, schwimmen.v, sinken.v, umfallen.v, wandern.v, steigen.v, ziehen.v, gehen.v, kippen.v",,"caído.n, submergir.v, caimento.n, tombo.n, por.v, , caído.a, cair.v",,,"fall.n, sjunka.v, falla.v, falli alla fall:9.n, störta.v, falli så fall:1.n, välta.v, rasa.v, trilla.v, vältavälta ner.v, rasarasa samman.v, sjunkasjunka ner.v"
1 002,Motion_interruption,,,,"resbalar.v, tropezarse.v\n, tropezar.v, resbalarse.v",,,,
1 003,Motion_manner,,,,"pasearse.v, desfilar.v, reptar.v, caminar.v, tambalearse.v, andar.v, correr.v, pasear.v, cabalgar.v, galopar.v, arrastrarse.v, corretear.v, trotar.v\n, gatear.v",,,,
1 004,Motion_medium,,,,"nadar.v, volar.v\n, bucear.v, navegar.v",,,,
1 005,Motion_noise,"thump.v, crunch.v, clank.v, creak.v, splash.v, clang.v, clatter.v, clump.v, clack.v, click.v, squelch.v, zing.v, gurgle.v, wheeze.v, fizz.v, patter.v, whine.v, roar.v, bang.v, splutter.v, purr.v, crash.v, thunder.v, putter.v, clunk.v, rumble.v, hiss.v, whir.v, howl.v, thud.v, crackle.v, swish.v, chug.v, rustle.v, clink.v, screech.v, ping.v, buzz.v",,"knirschen.v, trampeln.v, rumsen.v, knarren.v, summen.v, tuckern.v, krachen.v, rattern.v, schnurren.v, knallen.v, rumpeln.v, klirren.v",,"farfalhar.v, tilintar.v, badalar.v",,,"vin.n, svepa.v"
1 006,Motion_scenario,,,,,,,,
1 007,Motion_up_downwards,,,,"emerger.v, ascender.v, hundirse.v, brincar.v, descender.v, saltar.v, desplomarse.v, caer.v, subir.v, bajar.v, trepar.v\n, escalar.v, despeñarse.v",,,,
1 008,Moves,", move.n, play.v, maneuver.n, play.n, technique.n, trick.n, stroke.n, style.n, strike.n",,,"jugada.n, , jugar.v, lance.n","jogar.v, manobra.n, estilo.n, jogada.n, técnica.n, lance.n",,,
1 009,Moving_in_place,"quake.n, rotate.v, turn.v, rock.v, earthquake.n, judder.v, flop.v, twirl.v, shake.v, swing.v, quiver.v, quiver.n, roll.v, spin.v, temblor.n, wave.v, swing.n, vibrate.v",,"kreisen.v, drehen.v, stellen.v","columpiarse.v, oscilar.v, traquetear.v, ondear.v, agitarse.v, ladearse.v, saltar.v, vibrar.v\n, bambolearse.v, girar.v, rotar.v, balancearse.v",,,,"bölja.v, virvla.v, flaxa.v, vibrera.v, darra.v, rysa.v, pendla.v, jordbävning.n"
1 010,Moving_in_place,"quake.n, flop.v, quiver.n, temblor.n, rotate.v, turn.v, quiver.v, twirl.v, shake.v, wave.v, rock.v, judder.v, moving.a, swing.v, earthquake.n, spin.v, roll.v, swing.n, vibrate.v",,"kreisen.v, drehen.v, stellen.v","columpiarse.v, oscilar.v, ondear.v, ladearse.v, agitarse.v, girar.v, vibrar.v, rotar.v","itinerante.a, mudar.v, girar.v, , sacudir.v, deslocar.v",,,
1 011,Moving_text_into,", chick.n, offspring.v, cub.n","coller.v, collage.n",,,,v.لصق,,
1 012,Musical_instrument,,,,,"cuíca.n, piano.n, gaita de fole.n, violão.n, sanfona.n, atabaque.n",,,
1 013,Name_conferral,"dub.v, entitle.v, call.v, nickname.v, reduce.v, baptize.v, rename.v, christen.v, increase.n, decrease.v, name.v",renommer.v,"nennen.v, taufen.v",,"chamar-se.v, nomear.v, chamar.v, dublado.a",n.إعادة-تسمية,,"namnge.v, namngivning.n"
1 014,Namesake,"eponymous.a, namesake.n",,Namensvetter.n,,,,,
1 015,Natural_disaster,"submarine earthquake.n, cyclone.n, disaster.n, quake.n, , twister.n, earthquake.n, catastrophe.n, tragedy.n, snowslide.n, calamity.n, tsunami.n, undersea earthquake.n, drought.n, earth quake.n","avalanche.n, calamité.n, catastrophe.n, désastre.n, désertification.n, fléau.n, raz de marée.n, sécheresses.n, tornade.n, tragédie.n, tremblements de terre.n, tsunami.n",,"desertificación.n, maremoto.n, avalancha.n, terremoto.n, alud.n, tsunami.n, desastre.n, ciclón.n, sequía.n","maremoto.n, desertificação.n, avalanche.n, ciclone.n, terremoto.n, desastre.n, seca.n",,,
1 016,Natural_features,"open air.n, outdoors.n, mesa.n, cave.n, desert.n, laguna.n, sand dune.n, scenic overlook.n, water catchment area.n, chain.n, ridge.n, shoal.n, gulch.n, world.n, range.n, lake.n, aquifer.n, brushwood.n, cay.n, dell.n, pass.n, bar.n, beach.n, river.n, mountain peak.n, ocean.n, recess.n, graben.n, nature.n, woodland.n, dale.n, city park.n, slough.n, vale.n, continent.n, peak.n, strand.n, ocean sea.n, strait.n, gap.n, brush.n, floe.n, natural feature.n, falls.n, eyot.n, spring.n, tarn.n, inlets.n, sound.n, park.n, butte.n, skerry.n, glen.n, wood.n, scenic spot.n, cataract.n, chain of mountains.n, declivity.n, isle.n, mountain.n, rill.n, basin.n, archipelago.n, glacier.n, alcove.n, pool.n, drainage basin.n, guyot.n, cordillera.n, river basin.n, crevasse.n, jungle.n, cavern.n, beachline.n, channel.n, fjord.n, waterway.n, wetland.n, sandspit.n, dune.n, depression.n, islet.n, berg.n, shelf.n, margin.n, fall.n, glacier.a, reef.n, rapids.n, canyon.n, lough.n, woods.n, cirque.n, creek.n, beck.n, cascade.n, watercourse.n, catchment basin.n, galaxy.n, lava.n, coastal.a, lagune.n, continental.a, burn.n, key.n, hummock.n, watershed.n, stream channel.n, Northern Light.n, sea.n, seaside.a, peninsula.n, fell.n, thicket.n, defile.n, wash.n, volcano.n, inlet.n, bayou.n, rugged.a, iceberg.n, bay.n, crag.n, cataract waterfall.n, headland.n, mangrove.n, waste.n, grotto.n, shore.n, seamount.n, hillside.n, lagoon.n, pond.n, scenery.n, gully.n, atoll.n, narrow.n, timberland.n, point.n, streamlet.n, bight.n, embayment.n, river catchment.n, outcrop.n, cove.n, clough.n, ravine.n, height.n, hollow.n, waterfall.n, beach resort.n, structural basin.n, land.n, sandbank.n, woodlet.n, loch.n, stream.n, drainage area.n, grove.n, island group.n, hiking area.n, plateau.n, forest.n, valley.n, isthmus.n, mount.n, copse.n, paradisiac.a, terrain.n, sandbar.n, gulf.n, dingle.n, hill.n, runnel.n, seacoast.n, sea shore.n, brook.n, moraine.n, coombe.n, corrie.n, hillock.n, swimming pond.n, national park.n, field.n, skies.n, range of mountains.n, wasteland.n, coast.n, water.n, range [grazing].n, water flow.n, natural.a, nature preserve.n, coppice.n, run.n, balneario.n, seas.n, fairground.n, crater.n, island.n, skyline.n, knoll.n, ecological park.n, seashore.n, mangle.n, hydrotermal.a, tor.n, forested wetland.n, cliff.n, mound.n, heap.n, massif.n","atoll.n, banquise.n, calotte.a, continent.a, cours.n, eaux.n, fleuve.v, glacier.n, île.a, mer.v, montagne.a, plaine.n, rivière.n, toundra.v",,"cueva.n, pantano.n, isla.n, saltos, parque, natural.n, laguna.n, continental.a, nacional.n, depresión.n, duna, paradisíaco.a, bosque.n, maleza.n, costa.n, correntadas.n, montañas.n, mirador.n, aire, acantilado.n, freática.n, caudal.n, continente.n, de, arboledo.n, zona, hidrotermal.a, orilla.n, desierto.n, capa, en, valle.n, pantanal.n, la, manglar.n, océano.n, bañado.n, montaña.n, ribera.n, mar.n, cuenca, naturaleza.n, agua.n, balneario.a, estrecho.n, formación, rambla.n, bahía.n, gruta.n, monte.n, panorámico.n, margen.n, ensenada.n, campo.n, playa.n, morro.n, belleza, piscina, riachuelo.n, senderismo.n, costera.n, río.n, pico, parque.n, complejo, hidrologica.n, reserva.n, arroyo.n, llanura.n, chapada.n, arrecife.n, ruta, libre.n, recinto, cadena, lago.n, punto, península.n, selva.n, meseta.n, canal.n, paradisiaco.a, mundo.n, paisaje.n, balneario.n, turístico, natural.a, cascada.n, local.n, reserva, galaxia.n, ecológico.n, naturalizada.n, atolón.n, archipiélago.n, ferial.n","praia.n, oceano.n, ribeira.n, montão.n, arquipélago.n, água.n, , paradisíaco.a, rio.n, bosque.n, parque municipal.n, enseada.n, riacho.n, balneário.n, cratera.n, caverna.n, barragem.n, galáxia.n, reserva natural.n, área verde.n, ponto panorâmico.n, caudal.n, solo.n, trilha de caminhada.n, hidrotermal.a, vulcão.n, pantanal.n, piscina natural.n, barra.n, balnear.a, natureza.n, cachoeira.n, orla.n, mangue.n, montanha.n, mar.n, parque nacional.n, parque ecológico.n, queda d água.n, -, baía.n, gruta.n, jardim.n, monte.n, poça.n, pico de montanha.n, cordilheira.n, campo.n, sertão.n, morro.n, lençol.n, ilha.n, parque.n, pedra.n, reserva.n, chapada.n, paredão.n, deserto.n, recife.n, arrecife.n, céu.n, floresta.n, córrego.n, duna.n, mirante.n, vale.n, lagoa.n, catarata.n, lago.n, península.n, queda de água.n, canal.n, beleza natural.n, cascata.n, ar livre.n, mundo.n, pasto.n, bacia.n, margem.n, natural.a, estreito.n, leito.n, mata.n, ribeirão.n",,冰川.n,"hav.n, damm.n, skärgård.n, ö.n, golf.n, strand.n, klippblock.n, dal.n, klippa.n, sjö.n, vik.n, håla.n, slätt.n, våg.n, flod.n, älv.n, spricka.n, havsbotten.n, fjäll.n, grotta.n, buktfå bukt:3.n, backe.n, kontinent.n, bränning.n, vulkanö.n"
1 017,Natural_phenomena,,,,,"arco-íris.n, amanhecer.v, aurora boreal.n, escurecer.v, amanhecer.n, nuvem.n, lua cheia.n",,,
1 018,Natural_substance,", air.n, snow.n, biomass.n, water.n","biomasse.a, eau.n",,,ar.n,,"雪.n, 水.n",
1 019,Needing,"need.v, need.n, require.v",besoin.n,,,"preciso.a, necessitar.v, precisar.v, ter que.v, necessário.a, necessidade.n",,,
1 020,Negation,"far.a, free.a, without.prep, far (from).a, no.adv, never.adv, no longer.adv, no.art, nothing.adv, not.adv","ne.adv, pas.adv",,"no.adv, nunca.adv","tampouco.adv, jamais.adv, não.adv, sequer.adv, sem.prep, nunca.adv, , nada.adv",,,
1 021,Negative_conditional,"otherwise.adv, unless.scon",,,,,,,
1 022,Network,"network.n, web.n",,"Netzwerk.n, Netz.n",,"rede.n, web.n",,,"nätverk.n, webb.n"
1 023,Noise_makers,"organ.n, cello.n, harpsichord.n, harmonica.n, harp.n, bell.n, drum.n, rattle.n, flute.n, guitar.n, alarm.n, banjo.n, saxophone.n, trombone.n, violin.n, xylophone.n, piano.n, accordion.n, siren.n, oboe.n",,,,"candongueiro.n, chocalho.n, atabaque.n, sino.n, tambor.n, gaita de fole.n, sirene.n, acordeão.n, trombeta.n",,,
1 024,Non-commutative_process,"subtraction.n, divide.v, take away.v, subtract.v, division.n",,teilen.v,,,,,subtrahera.v
1 025,Non-commutative_statement,"difference.n, minus.prep, quotient.n",,,,,,,differens.n
1 026,Non-gradable_proximity,"starboard.n, right [landmark-based].n, ahead.adv, opposite.prep, opposite.a, beneath.prep, right [viewpoint-based].n, behind.prep, underneath.prep, along.prep, under.prep, on.prep, port.n, in back (of).prep, over.prep, beside.prep, by.prep, in front (of).prep, left [landmark-based].n, left [viewpoint-based].n, neighboring.a",,,,"ao lado.adv, do lado.adv, ao lado de.prep, diante de.prep, rente a.prep, atrás de.prep, adiante.adv, embaixo de.prep, debaixo de.prep, em frente de.prep, lado a lado.adv, perto de.prep, em frente a.prep, à frente.adv, sob.prep",,,
1 027,Noncombatant,"non-combatant.n, civilian.n, civvie.n",,"Nichtkombattant.n, Zivilist.n",,,,,
1 028,Notability,"notable.a, great.a",grand.a,,grande.a,"destacar-se.v, ganhar.v, pequeno.a, maior.a, grande.a, notável.a",,,anmärkningsvärd.a
1 029,Notification_of_charges,"charge.n, charge.v, indictment.n, accuse.v, indict.v",,,,,,,"åtal.n, åtala.v"
1 030,Nuclear_process,"radioactivity.n, decay.n, thermonuclear.a, fissile.a, fusion.n, fuse.v, fusable.a, fission.v, decay.v, radioactive.a, nuclear.a, fission.n",,zerfallen.v,,radioatividade.n,,,radioaktiv.a
1 031,Object_of_knowledge,,,,,"aritmética.n, métrico.a, evidência.n, pronome.n, rima.n, denotação.n, norma-padrão.n, logarítmico.a, poliedro.n, quadricular.a, ficcional.a, sintático.a, sinonímia.n, trigonometria.n, vocabulário.n, polissemia.n, conteúdo.n, quadrilátero.n, parônimo.n, homonímia.n, número.n, polinomial.a, triângulo.n, fonema.n, potenciação.n, verbal.a, decimal.a, subtração.n, circunferência.n, grupo ordenado.n, polígono.n, mol.n, pseudopalavra.n, grafema.n, quadrático.a, gramatical.a, tonicidade.n, fatoração.n, disciplina.n, equação.n, crase.n, conjunto.n, radiciação.n, fração.n, fracionário.a, morfossintático.a, sílaba.n, numeral.n, teorema de Pitágoras.n, estilística.n, forma.n, algarismo.n, acentuação.n, divisor.n, polinômio.n, antonímia.n, matéria.n, gramática.n",,,
1 032,Objective_influence,"have.v, effect.n, influence.v, power.n, impact.v, influence.n, high.a, cause.v, impact.n, affect.v, force.v","affecter.v, effet.n, impact.a, incidence.n, influence.n, influencer.v, influer.v, répercussion.n, avoir.v, avoir.v, avoir.v, avoir.v","Auswirkung.n, auswirken.v, stören.v, drücken.v, beeinflussen.v, Einfluss.n, ausmachen.v, gehen.v, entscheiden.v",,"impactar.v, benefício.n, poder.n, prejuízo.n, efeito.n, refletir.v, procurar.v, prejudicar.v, afetar.v, influenciar.v, agir.v, impacto.n, beneficiar.v, influência.n, afetado.a",,"影响.n, 影响.n","klimatpåverkan.n, influera.v"
1 033,Obligation_scenario,,,,,"dever.v, debitar.v",,,
