id,FrameName,EnglishLexicalUnits,FrenchLexicalUnits,PortugueseLexicalUnits,ChineseLexicalUnits,SpanishLexicalUnits,FrameElements,Link,Definition,LinkToBFN,MatchEvaluation,FrameRelation
,Natural_features,"atoll 1,
continent 1,
glacier 1,
mountain 1,
ocean 2,
river 1","atoll 1,
banquise 1,
calotte glaciaire 1,
continent 1,
cours d'eau 1,
eaux 1,
fleuve 1,
glacier 1,
île 1,
mer 2,
montagne 2,
plaine 1,
rivière 1,
toundra 1",,冰川 1,,Support,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Natural_features,A component of a Support defined by shape and characterized by natural geographic features.,Natural_features,?,"Locale :Is inherited by: Natural_features
Natural_features :Is inherited by: Locale_by_feature
Natural_features :Is inherited by: Relational_natural_features"
,Natural_substance,"air 1,
biomass 1,
snow 1,
water 1","biomasse 1,
eau 1",ar 1,"水 1,
雪 1",biomasa 1,,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Natural_substance,,?,NoMatch,Substance :Is inherited by: Natural_substance
,Objective_influence,"affect 1,
effect 1,
impact 1,
impact 2,
influence 1,
influence 2,
cause an impact,
have a consequence,
have an effect,
have an impact,
have an influence","affecter 1,
effet 1,
impact 1,
incidence 1,
influence 1,
influencer 1,
influer 1,
répercussion 1,
avoir un/une effet,
avoir un/une impact,
avoir un/une influence,
avoir un/une incidence","impactar 1,
impacto 1","影响 1,
影响 2","afectar 1,
efecto 1,
impactar 1,
impacto 1,
influencia 1,
influenciar 1,
influir 1,
repercusión 1","Agent | Cause
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Objective_influence,"A Cause, or sometimes an Agent, has an influence (that is often negative) on a Patient. The Patient can undergo changes due to this influence.",Objective_influence,?,Objective_influence :See also: Cause_change_of_state
,Ontogeny,"grow 2,
growth 2","croissance 2,
développement 2,
développer 3",,生长 1,,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Ontogeny,A Patient changes in size or develops into a different state.,Ontogeny,?,"Ontogeny :Precedes: Aging
Being_born :Precedes: Ontogeny
Ontogeny :Is subframe of: Cycle_of_life_and_death"
,Operate_vehicle,"drive 2,
ride 1","conduire 1,
conduite 1",,,,"Agent
Patient
Source
Destination",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Operate_vehicle,An Agent causes a Patient to move and controls the movements of the Patient for the purpose of going from a Source to a Destination.,Operate_vehicle,?,"Operate_vehicle :See also: Cause_motion
Operate_vehicle :See also: Driver
Use_vehicle :Is perspectivized in: Operate_vehicle
Operate_vehicle :Is subframe of: Operate_vehicle_scenario"
,Operated_with_means,"electric 1b,
hybrid 1","électrique 1b,
hybride 1,
à essence,
tout électrique",,,,Destination,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Operated_with_means,A Destination that uses a means to operate.,?,NoMatch,Operated_with_means :Is used by: Make_use_of_energy
,Overexploiting,"overfish 1,
overfishing 1,
waste 2","gaspillage 1,
gaspiller 1,
surpêche 1",,,,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Overexploiting,,?,NoMatch,Using_resource :Is used by: Overexploiting
,Passenger,passenger 1,,,,,"Theme
Instrument",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Passenger,,?,NoMatch,"Passenger :See also: Human_by_use
Passenger :See also: Ride_vehicle"
,Planting,"plant 2,
planting 2.1,
sow 1","ensemencement 1,
ensemencer 1,
plantation 1.1,
planter 1,
semer 1,
semis 2",,,,"Agent
Patient
Destination",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Planting,This frame describes a situation in which the Agent puts the Patient into the Destination for the purpose of growing.,Planting,?,"Fertilizing :Precedes: Planting
Preparing_soil :Precedes: Planting
Planting :Precedes: Food_gathering
Planting :Is subframe of: Growing_food
Planting :See also: Planting_trees"
,Planting_trees,"plant 4,
planting 4.1","plantation 2.1,
planter 2","plantação 1.1,
plantar 1",,,"Agent
Patient
Destination",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Planting_trees,This frame describes a situation in which the Agent puts the Patient in the Destination for the purpose of covering the Destination partly or entirely with the Patient.,?,NoMatch,"Adding_trees_in_location :Is perspectivized in: Planting_trees
Planting_trees :See also: Planting "
,Plants,"plant 1,
tree 1,
weed 1","adventice 1,
arbre 1,
arbuste 1,
feuillu 1,
mauvaise herbe 1,
plante 1,
végétal 1","árvore 1,
planta 1",植物 1,,,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Plants,A biological entity that belongs to the kingdom of plants (as opposed to that of animals).,Plants,?,Biological_entity :Is inherited by: Plants 
,Political_locale,,"pays 1,
ville 1",,,,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Political_locale,,Political_locale,?,Locale :Is inherited by: Political_locale
,Precipitation,"precipitation 1,
rain 1,
rainfall 1","mousson 1,
pluie 1,
précipitations 1",,"降水 1,
降雨 1",,"Location
Time
Material",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Precipitation,Water in some solid or liquid form (the Material) falls from the sky in a particular Location and at a particular Time.,Precipitation,?,Precipitation :Is subframe of: Storm
,Predicting,"forecast 2,
predict 1a,
predict 1b,
project 1a,
project 1b,
projection 1a.1","prédire 1a,
prévision 1a,
prévoir 1a,
prévoir 1b,
projeter 1a",,"预估 1a,
预估 1b,
预测 1a,
预测 1b",,"Agent
Patient
Method",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Predicting,An Agent states or makes known a Patient based on a Method.,Predicting,?,"Calculation :Precedes: Predicting
Estimating :Precedes: Predicting
Measuring :Precedes: Predicting
Predicting :Is subframe of: Predicting_scenario
Simulating :Precedes: Predicting"
,Predicting_scenario,,,,,,"Agent
Patient
Method
Substitute
Value",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Predicting_scenario,An Agent formally assesses the Value of a Patient using a Method or represents the state of a Patient in a Subsitute.,?,?,"Calculation :Is subframe of: Predicting_scenario
Estimating :Is subframe of: Predicting_scenario
Measuring :Is subframe of: Predicting_scenario
Predicting :Is subframe of: Predicting_scenario
Predicting_scenario :See also: Human_by_knowledge
Predicting_scenario :Is used by: Representation
Simulating :Is subframe of: Predicting_scenario"
,Preparing_for_reuse,"recycle 1,
recycling 1","recyclage 1,
recycler 1",,,reciclaje 1,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Preparing_for_reuse,,?,NoMatch,"Preparing_for_reuse :Is subframe of: Recover
Preparing_for_reuse :Precedes: Reuse"
,Preparing_soil,"no-till 1,
tillage 1",labour 1,,,,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Preparing_soil,,?,?,"Preparing_soil :Precedes: Planting
Preparing_soil :Is subframe of: Growing_food"
,Preserve_in_original_state,"conservation 1,
conserve 1,
preservation 1,
preserve 1","conservation 1,
conserver 1,
préservation 1,
préserver 1","conservação 1,
conservar 1,
preservação 1,
preservar 1",,preservar 1,"Agent | Cause
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Preserve_in_original_state,An Agent or a Cause causes that a Patient remains in its original or in a good state.,?,NoMatch,Preserve_in_original_state :See also: Protecting
,Processing_materials,"process 1,
treat 1","conditionnement 1,
traitement 1,
traiter 1",,,,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Processing_materials,An Agent processes a Patient so this Patient can be used again for another purpose.,Processing_materials,?,Processing_materials :Is subframe of: Recover
,Procreation,"breed 1,
breeding 1","reproduction 1,
reproduire 3",,,,Agent | Agents | Agent-a | Agent-b,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Procreation,An Agent engages in a series of activities to have offsprings.,?,NoMatch,"Giving_birth :Is subframe of: Procreation
Procreative_sex :Is subframe of: Procreation
Procreation :See also: Reproducing_animal"
,Procreative_sex,mate 1,"accouplement 1,
accoupler 1",,,,"Agent-a
Agent-b
Agent",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Procreative_sex,An Agent-a engage in a sex act with Agent-b in order to have offsprings.,Procreative_sex,?,"Procreative_sex :Precedes: Fertilizing_animal
Procreative_sex :Is subframe of: Procreation"
,Progression,,développer 1a,,,,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Progression,A Patient changes from a prior state to a post state in a sequence leading to improvement or degradation,Progress,?,"Cause_to_make_progress :Is causative of: Progression
Progression :Is inchoative of: Cause_to_make_progress
Progression :Is used by: Stage_of_progress
Progression :See also: Undergo_change_of_state"
,Protecting,"protect 1,
protection 1","protection 1,
protéger 1","proteção 1,
proteger 1",保护 1,"protección 1,
proteger 1","Agent | Cause
Patient
Threat",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Protecting,An Agent or a Cause prevents a Patient from being harmed by a Threat,Protecting,?,"Protecting :See also: Preserve_in_original_state
Protecting :See also: Rejuvenation
Run_risk :Is used by: Protecting"
,Recover,recover 1,"récupération 1,
récupérer 1,
valorisation 1,
valoriser 1",,,,Agent Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Recover,An Agent applies different methods so that a Patient can be used once again.,?,NoMatch,"Cause_change_into_reusable_material :Is subframe of: Recover
Preparing_for_reuse :Is subframe of: Recover
Processing_materials :Is subframe of: Recover
Sorting :Precedes: Recover
Recover :Is subframe of: Managing_waste"
,Recreation,renewable 1,"renouvelable 1
non renouvelable",,,renovable 1,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Recreation,,?,NoMatch,Recreation :See also: Judgment_of_impact_on_the_environment
,Reflecting,reflect 1,réfléchir 1,,反射 1,,"Source
Patient
Destination",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Reflecting,,?,NoMatch,Emitting :Precedes: Reflecting
,Rejuvenation,"recover 3b,
restoration 1,
restore 1","restauration 1,
restaurer 1,
rétablir 1b,
rétablissement 1",,,,"Agent
Cause
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Rejuvenation,The action of an Agent or the occurrence of a Cause returns an Patient to an earlier state.,Rejuvenation,?,"Become_rejuvenated :Is inchoative of: Rejuvenation
Rejuvenation :Is causative of: Become_rejuvenated
Rejuvenation :See also: Protecting"
,Relational_natural_features,"coast 1,
permafrost 1,
surface 1","côte 1,
delta 1,
estuaire 1,
littoral 1,
pergélisol 1,
plaque 1,
sol 1,
surface 1",,,,Support,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Relational_natural_features,"A part is defined in relation to a Support, either as a particular part, or as an immediately bordering entity.",Relational_natural_features,?,Natural_features :Is inherited by: Relational_natural_features
,Relocating,"relocate 1,
relocation 1,
translocation 1",translocation 1,,,,"Agent
Patient
Source
Destination",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Relocating,An Agent removes a Patient from a Source and places the Patient in a new Destination.,?,?,Adding_species_in_location :Is inherited by: Relocating
,Removing,"discard 1,
disposal 1,
dispose 1","élimination 1,
éliminer 1",,,,"Agent
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Removing,An Agent gets rid of a Patient.,Removing,?,"Burning_into_ashes :Is subframe of: Removing
Hide_in_ground :Is subframe of: Removing
Sorting :Precedes: Removing
Removing :Is subframe of: Managing_waste"
,Removing_trees_from_location,"clear 1,
clearing 1,
deforest 1,
deforestation 1","déboisement 1,
déboiser 1,
défrichement 1,
défricher 1","desflorestamento 1,
desflorestar 1,
desmatamento 1,
desmatar 1",,,"Agent | Cause
Source
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Removing_trees_from_location,An Agent or a Cause removes a Patient from a Source so that the Source becomes completely devoid of Patients.,?,NoMatch,Removing_trees_from_location :Is subframe of: Forestry
,Repel,,"lutte 1,
lutter 1",,,,"Agent
Threat",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Repel,An Agent takes measures in order to counter a Threat,Repel,?,
,Representation,"model 1,
scenario 1","modèle 1,
scénario 1",,"情景 1,
模型 1",,"Agent
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Representation,,?,NoMatch,Predicting_scenario :Is used by: Representation
,Reproducing_animal,"female 1,
male 1,
mother 1","femelle 1,
mâle 1,
mère 1",,,,"Agent
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Reproducing_animal,,?,NoMatch,"Animal_by_family :Is perspectivized in: Reproducing_animal
Animals :Is inherited by: Reproducing_animal
Reproducing_animal :See also: Procreation"
,Residence,"inhabit 1,
live 2,
nest 2,
nesting 1,
occupy 1","nicher 1,
nidification 1,
occuper 1,
vivre 2",,,,Theme Location,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Residence,A Theme resides in a specific Location in order to carry out its activities.,Residence,?,"Species_activity :Is inherited by: Residence
Residence :Is used by: Distribution
Residence :Is used by: Species_colonization
Residence :See also: Visiting"
,Resource,resource 1,ressource 1,recurso 1,资源 1,,"Material
Agent",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Resource,An entity made of Material that is found in nature that used by an Agent for a specific purpose.,?,NoMatch,"Resource :Is inherited by: Food
Resource :See also: Substance
Resource :See also: Using_resource"
,Reuse,"reuse 1,
reuse 2","réemploi 1,
réemployer 1,
réutilisation 1,
réutiliser 1",,,,"Agent
Patient
Purpose",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Reuse,An Agent uses a Patient that has already been used and that has been recycled or treated for a specific Purpose.,Using_resource,?,"Cause_change_into_reusable_material :Precedes: Reuse
Preparing_for_reuse :Precedes: Reuse
Reuse :See also: Using_resource"
,Ride_vehicle,"carpooling 1,
commute 1,
commuting 1,
transit 1.1,
travel 2.1","covoiturage 1,
déplacement 3,
déplacer 4,
trajet 1,
voyage 1",,,,"Theme
Source
Destination
Instrument
Source_Destination",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Ride_vehicle,A Theme moves from a Source to a Destination by means of an Instrument.,Ride_vehicle,?,"Ride_vehicle :See also: Passenger
Use_vehicle :Is perspectivized in: Ride_vehicle"
,Risk_scenario,,,,,,"Agent | Cause
Patient
Result",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Risk_scenario,A Patient is in a particular situation triggered by an Agent or a Cause that affects the Patient and mays end up in a Result.,Risk_scenario,?,"Risk_scenario :Is perspectivized in: Being_at_risk
Risk_scenario :Is perspectivized in: Risky_situation
Risk_scenario :Is perspectivized in: Run_risk"
,Risky_situation,"harmful 1,
hazard 1,
hazardous 1","danger 1,
néfaste 1,
nocif 1,
nuisible 1",,有害 1,,"Cause | Agent
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Risky_situation,A Cause or an Agent is likely (or unlikely) to result in a harmful event befalling an Patient.,Risky_situation,ExactMatch,"Risky_situation :See also: Endangering
Risky_situation :See also: Run_risk
Risk_scenario :Is perspectivized in: Risky_situation"
,Rotting,"biodegradable 1,
biodegradation 1,
biodegrade 1,
decay 1,
decay 1.1,
decompose 1a,
decomposition 1","biodégradable 1,
biodégradation 1,
biodégrader 1a,
décomposer 1a,
décomposition 1,
dégradable 1,
dégrader 2,
putrescible 1",,,,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Rotting,"A Patient, which is an organic substance, undergoes the natural process of decaying.",Rotting,ExactMatch,Undergo_change_of_state :Is inherited by: Rotting
,Run_risk,"risk 1,
threat 1","menace 1,
risque 1",,"威胁 1.1,
风险 1",amenaza 1,"Cause
Patient
Result",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Run_risk,A Result is likely (or unlikely) to occur when a Cause affects Patient in a (often negative) way.,Run_risk,TooGeneral,"Run_risk :See also: Being_at_risk
Run_risk :See also: Risky_situation
Risk_scenario :Is perspectivized in: Run_risk 
Run_risk :Is used by: Protecting"
,Scarcity,"loss 1,
rare 1,
rarity 1,
shortage 1","pénurie 1,
perte 1,
rare 1,
raréfaction 1,
raréfier 1",,,,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Scarcity,A Patient is no longer available or available in very low amounts.,Scarcity,WeakMatch,
,Scientific_field,"biology 1,
ecology 1","biologie 1,
climatologie 1,
écologie 1,
hydrologie 2,
océanographie 1",,,,Agent Topic,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Scientific_field,,?,NoMatch,Scientific_field :Is used by: Human_by_knowledge
,Self_motion,"migrate 1,
migration 1","déplacement 1,
déplacer 1,
migration 1,
migrer 1",,,,"Theme
Source
Destination",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Self_motion,"The Theme, a living being, moves under its own direction from a Source to a Destination.",Self_motion,TooSpecific,Species_activity :Is inherited by: Self_motion
,Separating,fragment 2,fragmenter 1b,,,,"Agent | Cause
Patient
Part",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Separating,A Agent or a Cause creates a division in a Patient such that the Patient results in being divided into two or more Parts.,Separating,ExactMatch,Human_activity :Is inherited by: Separating
,Simulating,"model 2,
modelling 1,
simulate 1a,
simulate 1b","modélisation 1,
modéliser 1b,
reproduire 1,
simulation 1,
simuler 1a,
simuler 1b",,"模拟 1a,
模拟 1b",,"Agent
Patient
Substitute",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Simulating,An Agent provides an artificial reproduction of a Patient with a Substitute so that the Patient can be studied or examined by experts.,?,NoMatch,"Simulating :Precedes: Predicting
Simulating :Is subframe of: Predicting_scenario"
,Sleep,"hibernate 1,
hibernation 1","hibernation 1,
hiberner 1,
en hibernation",,,,"Agent
Duration",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Sleep,"The Agent remains in a dormant states for a given Duration, typically associated with a season.",Sleep,TooSpecific,Species_activity :Is inherited by: Sleep
,Soaking_up,"absorb 1,
absorption 1,
uptake 1.1","absorber 1,
absorption 1","absorção 1,
absorver 1",吸收 1,,"Destination
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Soaking_up,A Destination becomes imbued with a Patient,Soaking_up,TooGeneral,"Emitting :Precedes: Soaking_up
Soaking_up :Precedes: Emitting
Soaking_up :Precedes: Trapping"
,Sorting,"segregate 1,
separate 1a,
separation 1a,
sort 1","tri 1,
trier 1",,,,"Agent
Patient | Patient-a | Patient-b | Patients
Criterion",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Sorting,"An Agent divides a Patient, Patients or Patient-a from Patient-b on the basis of a Criterion.",?,NoMatch,"Collecting :Precedes: Sorting
Sorting :Precedes: Recover
Sorting :Precedes: Removing
Sorting :Is subframe of: Managing_waste"
,Species_activity,,,,,,,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Species_activity,,?,NoMatch,"Species_activity :See also: Animals
Species_activity :Is inherited by: Hunting
Species_activity :Is inherited by: Ingestion
Species_activity :Is inherited by: Residence
Species_activity :Is inherited by: Self_motion
Species_activity :Is inherited by: Sleep
Species_activity :Is inherited by: Visiting"
,Species_colonization,"colonization 1,
colonize 1,
recolonization 1","colonisation 1,
coloniser 1,
établir 1,
établissement 1,
peupler 1",,,,"Theme
Location",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Species_colonization,A Theme settles in a group in a Location in order to feed and reproduce.,?,NoMatch,"Adding_species_in_location :Is causative of: Species_colonization
Species_colonization :Is inchoative of: Adding_species_in_location
Residence :Is used by: Species_colonization"
,Spilling,spill 1a,"déverser 2a,
écouler 2,
marée noire 1.1",,,,"Patient
Destination",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Spilling,,?,NoMatch,"Discharge :Is causative of: Spilling
Spilling :Is inchoative of: Discharge"
,Stage_of_progress,"developed 1,
developing 1,
industrialized 1","développé 1,
émergent 2,
industrialisé 1
en développement,
en voie de développement",,,,"Patient
",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Stage_of_progress,A Patient is at a particular stage of its development.,Stage_of_progress,ExactMatch,Progression :Is used by: Stage_of_progress
,Storing,store 1b,"stockage 1b,
stocker 1b",,,,"Agent | Cause
Patient
Destination",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Storing,An Agent keeps a Patient in a Destination in order to prevent the Patient from being in atmosphere and contribute to the greenhouse effect.,Storing,TooSpecific,Capturing :Precedes: Storing
,Storm,"cyclone 1,
hurricane 1,
storm 1,
thunderstorm 1,
tornado 1","cyclone 1,
orage 1,
ouragan 1,
tempête 1,
tornade 1",,"气旋 1,
飓风 1,
龙卷风 1",,"Location
Time",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Storm,,?,NoMatch,"Precipitation :Is subframe of: Storm
Storm :Precedes: Catastrophe
Storm :Is subframe of: Weather_event"
,Substance,"material 1,
substance 1","matière 1,
substance 1",,,,,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Substance,,Substance,ExactMatch,"Substance :See also: Resource
Substance :Is inherited by: Elements_and_compounds
Substance :Is inherited by: Natural_substance
Substance :Is inherited by: Substance_by_action
Substance :Is inherited by: Substance_by_use
Substance :Is inherited by: Waste
Substance :Is used by: Substance_by_introduction"
,Substance_by_action,"disinfectant 1,
product 2","désinfectant 2,
détergent 1,
produit 2",,,,"Agent
Patient | Purpose",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Substance_by_action,A substance used by an Agent for a specific Purpose in relation with a specific Patient.,?,NoMatch,"Substance :Is inherited by: Substance_by_action
Substance_by_action :Is inherited by: Substance_for_addition
Substance_by_action :Is inherited by: Substance_for_removal"
,Substance_by_introduction,contaminant 1,"contaminant 2,
polluant 2",,,,"Material
Destination",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Substance_by_introduction,,?,NoMatch,"Substance_by_introduction :See also: Contamination
Substance :Is used by: Substance_by_introduction"
,Substance_by_use,"bioethanol 1,
biofuel 1,
biogas 1,
ethanol 1,
fuel 1,
hydrocarbon 1","biocarburant 1,
biogaz 1,
carburant 1,
diesel 1,
essence 1,
hydrocarbure 1,
pétrole 1,
terre rare 1",,,,"Agent
Destination",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Substance_by_use,,?,NoMatch,Substance :Is inherited by: Substance_by_use
,Substance_for_addition,fertilizer 1,fertilisant 1,,,,"Agent
Destination",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Substance_for_addition,,?,NoMatch,Substance_by_action :Is inherited by: Substance_for_addition
,Substance_for_removal,"insecticide 1,
pesticide 1,
surfactant 1",pesticide 1,,,,"Agent
Source | Destination
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Substance_for_removal,,?,NoMatch,Substance_by_action :Is inherited by: Substance_for_removal
,Supply,"supply 1,
supply 1.1",,,,,"Agent | Cause
Patient
Recipient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Supply,,Supply,ExactMatch,
,Surviving,"survival 1,
survive 1","subsistance 1,
survie 1,
survivre 1,
viabilité 1,
viable 1",sobrevivência 1,"生存 1,
生存 1.1",,Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Surviving,A Patient manages to stay alive even if difficult conditions surround it.,Surviving,TooGeneral,"Surviving :Precedes: Ceasing_to_be
Surviving :Is subframe of: Cycle_of_existence_scenario"
,Sustainability,"sustainability 1,
sustainable 1,
unsustainable 1","durable 1,
rationnel 1;
non durable","sustentabilidade 1,
sustentável 1",,"sostenibilidad 1,
sostenible 1",Cause,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Sustainability,,?,NoMatch,"Human_activity :Has property: Sustainability
Sustainability :See also: Judgment_of_impact_on_the_environment"
,Taking,take 1,,,,,"Agent | Cause
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Taking,An Agent or a Cause does something is detrimental to a Patient and contributes to its decline or disappearance.,?,NoMatch,"Human_activity :Is inherited by: Taking
Taking :Is inherited by: Disturbing
Taking :Is inherited by: Human_hunting
Taking :Is inherited by: Taking_captive"
,Taking_captive,"bycatch 1.1,
capture 5,
capture 5.1,
catch 1,
catch 1.1,
take 2","capture 2.1,
capturer 2,
prendre 1,
prise 2.1",,,,"Agent
Patient",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Taking_captive,An Agent takes and holds a Patient so that the Patient becomes available for use by the Agent.,Taking_captive,TooGeneral,"Taking_captive :See also: Being_in_captivity
Taking :Is inherited by: Taking_captive
Taking_captive :Is inherited by: Catching_with_gear"
,Trapping,"trap 1a,
trap 1b","emprisonner 1,
piéger 1a,
piéger 1b",,,,"Agent
Patient
Location",https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Trapping,An Agent keeps a Patient in a Location and prevents the Patient from escaping or a Location prevents a Patient from escaping.,?,NoMatch,Soaking_up :Precedes: Trapping
,Undergo_change_of_state,"change 1a,
change 1a.1,
fluctuate 1,
fluctuation 1,
shift 1,
shift 1.1,
variation 1,
vary 1","changement 1a,
changer 1a,
dérèglement 1,
évoluer 1,
évolution 1,
fluctuation 1,
fluctuer 1,
modification 1a,
modifier 1a,
variation 1,
varier 1",,"变化 1,
变化 1.1,
改变 1a,
改变 1a.1,
波动 1,
突变 1,
突变 1.1","cambiar 1a,
variación 1,
variar 1",Patient,https://olst.ling.umontreal.ca/dicoenviro/framed/index.php?sr=frames&pr=ex&rq=Undergo_change_of_state,"A Patient changes, often irregularly.",?,NoMatch,"Cause_change_of_state :Is causative of: Undergo_change_of_state
Undergo_change_of_state :Is inchoative of: Cause_change_of_state
Undergo_change_of_state :See also: Progression
Undergo_change_of_state :Is inherited by: Change_of_phase
Undergo_change_of_state :Is inherited by: Change_position_on_a_scale
Undergo_change_of_state :Is inherited by: Deteriorating
Undergo_change_of_state :Is inherited by: Rotting"
